CustomerKey;GeographyKey;CustomerAlternateKey;FirstName;LastName;BirthDate;MaritalStatus;Gender;YearlyIncome;TotalChildren;NumberChildrenAtHome;Education;Occupation;NumberCarsOwned;DateFirstPurchase;CommuteDistance;BirthYear;FirstPurchaseYear
21126;196;AW00021126;Kaitlin;Gonzalez;Wednesday, May 6, 1981;S;F;£30,000;0;0;Partial College;Clerical;1;2013-04-22;2-5 Miles;1981;2013
21128;117;AW00021128;Kenneth;Andersen;Wednesday, December 17, 1980;S;M;£30,000;0;0;Partial College;Clerical;1;2013-06-28;0-1 Miles;1980;2013
22532;269;AW00022532;Ryan;Thomas;Sunday, February 7, 1982;S;M;£30,000;0;0;Partial College;Clerical;1;2013-12-03;2-5 Miles;1982;2013
22541;151;AW00022541;Stefanie;Martinez;Monday, June 25, 1979;S;F;£30,000;0;0;Partial College;Clerical;1;2013-04-29;2-5 Miles;1979;2013
22707;171;AW00022707;Haley;Russell;Saturday, July 18, 1981;S;F;£30,000;0;0;Partial College;Clerical;1;2013-08-11;2-5 Miles;1981;2013
22712;184;AW00022712;Monique;Romero;Monday, August 6, 1979;S;F;£30,000;0;0;Partial College;Clerical;1;2013-10-20;2-5 Miles;1979;2013
23444;207;AW00023444;Aidan;Washington;Sunday, May 13, 1979;S;M;£30,000;0;0;Partial College;Clerical;1;2013-10-06;2-5 Miles;1979;2013
23748;211;AW00023748;Yolanda;Pal;Tuesday, August 16, 1983;S;F;£30,000;0;0;Partial College;Clerical;1;2013-10-07;2-5 Miles;1983;2013
23958;213;AW00023958;Amy;Lin;Wednesday, April 15, 1981;S;F;£30,000;0;0;Partial College;Clerical;1;2013-11-19;2-5 Miles;1981;2013
23959;155;AW00023959;Amber;Parker;Saturday, November 29, 1980;S;F;£30,000;0;0;Partial College;Clerical;1;2013-02-24;0-1 Miles;1980;2013
23961;175;AW00023961;Karen;Huang;Friday, December 19, 1980;S;F;£30,000;0;0;Partial College;Clerical;1;2013-08-27;2-5 Miles;1980;2013
24120;133;AW00024120;Kaitlyn;Allen;Monday, November 15, 1982;S;F;£30,000;0;0;Partial College;Clerical;1;2013-03-25;2-5 Miles;1982;2013
25508;147;AW00025508;Melissa;Cook;Wednesday, December 1, 1982;S;F;£30,000;0;0;Partial College;Clerical;1;2013-11-03;0-1 Miles;1982;2013
25528;121;AW00025528;Alexandria;Butler;Saturday, February 2, 1980;S;F;£30,000;0;0;Partial College;Clerical;1;2013-11-12;2-5 Miles;1980;2013
25667;149;AW00025667;Jaclyn;Gao;Wednesday, April 27, 1983;S;F;£30,000;0;0;Partial College;Clerical;1;2013-04-28;2-5 Miles;1983;2013
25674;150;AW00025674;Reginald;Navarro;Saturday, January 23, 1982;S;M;£30,000;0;0;Partial College;Clerical;1;2013-03-07;0-1 Miles;1982;2013
25675;264;AW00025675;Joe;Blanco;Wednesday, December 9, 1981;S;M;£30,000;0;0;Partial College;Clerical;1;2013-02-15;0-1 Miles;1981;2013
25679;222;AW00025679;Meredith;Rodriguez;Thursday, December 18, 1980;S;F;£30,000;0;0;Partial College;Clerical;1;2013-09-06;2-5 Miles;1980;2013
25680;123;AW00025680;Manuel;Subram;Wednesday, March 25, 1981;S;M;£30,000;0;0;Partial College;Clerical;1;2013-06-15;2-5 Miles;1981;2013
25681;155;AW00025681;Melinda;Serrano;Friday, August 29, 1980;S;F;£30,000;0;0;Partial College;Clerical;1;2013-02-28;2-5 Miles;1980;2013
26212;133;AW00026212;Summer;Martinez;Saturday, November 3, 1984;S;F;£30,000;0;0;Partial College;Clerical;1;2013-10-05;2-5 Miles;1984;2013
26874;118;AW00026874;Jorge;Zhang;Thursday, May 19, 1983;S;M;£30,000;0;0;Partial College;Clerical;1;2013-05-01;2-5 Miles;1983;2013
26876;260;AW00026876;Holly;Lopez;Saturday, January 22, 1983;S;F;£30,000;0;0;Partial College;Clerical;1;2013-06-12;0-1 Miles;1983;2013
26886;267;AW00026886;Jasmine;Robinson;Wednesday, May 12, 1982;S;F;£30,000;0;0;Partial College;Clerical;1;2013-06-21;0-1 Miles;1982;2013
26975;186;AW00026975;Janet;Ward;Thursday, October 4, 1984;S;F;£30,000;0;0;Partial College;Clerical;1;2013-07-07;1-2 Miles;1984;2013
27153;211;AW00027153;Gina;Ruiz;Friday, February 8, 1980;S;F;£30,000;0;0;Partial College;Clerical;1;2013-03-26;0-1 Miles;1980;2013
27154;121;AW00027154;Holly;Arun;Wednesday, June 18, 1980;S;F;£30,000;0;0;Partial College;Clerical;1;2013-10-20;2-5 Miles;1980;2013
28424;233;AW00028424;Neil;Romero;Tuesday, July 20, 1982;S;M;£30,000;0;0;Partial College;Clerical;1;2013-11-13;0-1 Miles;1982;2013
28426;246;AW00028426;Melvin;Xie;Tuesday, February 15, 1983;S;M;£30,000;0;0;Partial College;Clerical;1;2013-10-11;2-5 Miles;1983;2013
28427;247;AW00028427;Yolanda;Deng;Friday, October 8, 1982;S;F;£30,000;0;0;Partial College;Clerical;1;2013-11-11;0-1 Miles;1982;2013
28438;271;AW00028438;Heidi;Sanchez;Wednesday, December 30, 1981;S;F;£30,000;0;0;Partial College;Clerical;1;2013-12-04;0-1 Miles;1981;2013
28444;209;AW00028444;Pedro;Sai;Monday, May 18, 1981;S;M;£30,000;0;0;Partial College;Clerical;1;2013-03-20;0-1 Miles;1981;2013
28445;154;AW00028445;Shaun;She;Wednesday, June 17, 1981;S;M;£30,000;0;0;Partial College;Clerical;1;2013-11-10;0-1 Miles;1981;2013
28723;273;AW00028723;Ryan;Yang;Sunday, April 22, 1979;S;M;£30,000;0;0;Partial College;Clerical;1;2013-04-04;0-1 Miles;1979;2013
28730;269;AW00028730;Nicole;Robinson;Thursday, April 18, 1985;S;F;£30,000;0;0;Partial College;Clerical;1;2013-02-03;2-5 Miles;1985;2013
29429;203;AW00029429;Marie;Suarez;Tuesday, November 18, 1980;S;F;£30,000;0;0;Partial College;Clerical;1;2013-12-12;0-1 Miles;1980;2013
11471;207;AW00011471;Latasha;Suarez;Sunday, March 25, 1979;S;F;£30,000;0;0;Partial College;Clerical;1;2013-05-17;2-5 Miles;1979;2013
11604;275;AW00011604;Edgar;Sanchez;Wednesday, December 1, 1982;S;M;£30,000;0;0;Partial College;Clerical;1;2012-01-03;2-5 Miles;1982;2012
12515;189;AW00012515;Shelby;Bailey;Wednesday, December 1, 1982;S;F;£30,000;0;0;Partial College;Clerical;1;2013-07-24;2-5 Miles;1982;2013
12524;211;AW00012524;Kate;Shan;Wednesday, July 23, 1980;S;F;£30,000;0;0;Partial College;Clerical;1;2013-06-13;2-5 Miles;1980;2013
12716;185;AW00012716;Dale;Shen;Thursday, September 13, 1979;S;M;£30,000;0;0;Partial College;Clerical;1;2013-02-12;2-5 Miles;1979;2013
12718;193;AW00012718;Tammy;Sai;Tuesday, May 13, 1980;S;F;£30,000;0;0;Partial College;Clerical;1;2013-11-12;2-5 Miles;1980;2013
13837;120;AW00013837;Alyssa;Lee;Wednesday, February 10, 1982;S;F;£30,000;0;0;Partial College;Clerical;1;2013-11-12;2-5 Miles;1982;2013
14837;144;AW00014837;Dennis;Li;Friday, January 14, 1983;S;M;£30,000;0;0;Partial College;Clerical;1;2013-11-17;2-5 Miles;1983;2013
16323;209;AW00016323;Dustin;Raje;Thursday, October 2, 1980;S;M;£30,000;0;0;Partial College;Clerical;1;2013-08-19;2-5 Miles;1980;2013
16469;188;AW00016469;Michele;Tang;Monday, May 18, 1981;S;F;£30,000;0;0;Partial College;Clerical;1;2013-04-16;2-5 Miles;1981;2013
17854;147;AW00017854;Shannon;Gomez;Monday, November 19, 1979;S;M;£30,000;0;0;Partial College;Clerical;1;2013-12-03;2-5 Miles;1979;2013
18029;155;AW00018029;Carmen;Malhotra;Friday, June 17, 1983;S;F;£30,000;0;0;Partial College;Clerical;1;2013-08-26;2-5 Miles;1983;2013
18045;134;AW00018045;Toni;Arun;Monday, April 9, 1984;S;F;£30,000;0;0;Partial College;Clerical;1;2012-12-08;2-5 Miles;1984;2012
19515;207;AW00019515;Nancy;Garcia;Thursday, February 13, 1986;S;F;£30,000;0;0;Partial College;Clerical;1;2013-03-28;2-5 Miles;1986;2013
20947;245;AW00020947;Marie;Alvarez;Sunday, December 6, 1981;S;F;£30,000;0;0;Partial College;Clerical;1;2014-01-25;2-5 Miles;1981;2014
21127;209;AW00021127;Crystal;Zheng;Wednesday, January 21, 1981;S;F;£30,000;0;0;Partial College;Clerical;1;2013-08-14;2-5 Miles;1981;2013
22542;201;AW00022542;Teresa;Alvarez;Friday, October 4, 1985;S;F;£30,000;0;0;Partial College;Clerical;1;2013-10-24;2-5 Miles;1985;2013
22866;160;AW00022866;William;Thompson;Wednesday, December 12, 1979;S;M;£30,000;0;0;Partial College;Clerical;1;2013-03-25;2-5 Miles;1979;2013
23443;186;AW00023443;Elijah;Jai;Sunday, November 12, 1978;S;M;£30,000;0;0;Partial College;Clerical;1;2013-10-18;2-5 Miles;1978;2013
23445;188;AW00023445;Andy;Carlson;Wednesday, May 7, 1980;S;M;£30,000;0;0;Partial College;Clerical;1;2013-09-13;2-5 Miles;1980;2013
23946;171;AW00023946;Kelli;Luo;Monday, May 2, 1983;S;F;£30,000;0;0;Partial College;Clerical;1;2013-10-20;2-5 Miles;1983;2013
24137;173;AW00024137;Tara;Sharma;Sunday, June 14, 1981;S;F;£30,000;0;0;Partial College;Clerical;1;2013-05-30;2-5 Miles;1981;2013
25144;144;AW00025144;Johnathan;Fernandez;Wednesday, December 12, 1979;S;M;£30,000;0;0;Partial College;Clerical;1;2013-09-17;2-5 Miles;1979;2013
26873;165;AW00026873;Ann;Suri;Saturday, October 30, 1982;S;F;£30,000;0;0;Partial College;Clerical;1;2013-02-16;2-5 Miles;1982;2013
28434;144;AW00028434;Brian;Lauer;Saturday, August 1, 1981;S;M;£30,000;0;0;Partial College;Clerical;1;2013-06-13;2-5 Miles;1981;2013
12717;184;AW00012717;Hannah;Wood;Wednesday, December 5, 1979;M;F;£30,000;0;0;Partial College;Clerical;1;2011-10-21;0-1 Miles;1979;2011
14691;186;AW00014691;Derrick;Torres;Sunday, May 12, 1985;M;M;£30,000;0;0;Partial College;Clerical;1;2013-09-02;1-2 Miles;1985;2013
14997;161;AW00014997;Angel;Cooper;Tuesday, December 2, 1980;M;M;£30,000;0;0;Partial College;Clerical;1;2011-12-06;0-1 Miles;1980;2011
16189;265;AW00016189;Amanda;Hughes;Saturday, September 29, 1984;M;F;£30,000;0;0;Partial College;Clerical;1;2013-06-16;1-2 Miles;1984;2013
16454;274;AW00016454;Marco;Suri;Friday, December 3, 1982;M;M;£30,000;0;0;Partial College;Clerical;1;2013-02-12;0-1 Miles;1982;2013
18039;186;AW00018039;Logan;Clark;Friday, April 17, 1981;M;M;£30,000;0;0;Partial College;Clerical;1;2011-09-04;0-1 Miles;1981;2011
18047;143;AW00018047;Latasha;Alvarez;Thursday, August 9, 1979;M;F;£30,000;0;0;Partial College;Clerical;1;2011-12-29;0-1 Miles;1979;2011
19387;168;AW00019387;Ruth;Rana;Saturday, September 22, 1979;M;F;£30,000;0;0;Partial College;Clerical;1;2011-06-27;0-1 Miles;1979;2011
19512;270;AW00019512;Marco;Kapoor;Friday, January 8, 1982;M;M;£30,000;0;0;Partial College;Clerical;1;2013-04-10;0-1 Miles;1982;2013
21114;117;AW00021114;Savannah;Murphy;Wednesday, May 4, 1983;M;F;£30,000;0;0;Partial College;Clerical;1;2013-03-28;0-1 Miles;1983;2013
23947;160;AW00023947;Autumn;Liang;Wednesday, October 6, 1982;M;F;£30,000;0;0;Partial College;Clerical;1;2013-11-26;0-1 Miles;1982;2013
24118;217;AW00024118;Donna;Chande;Monday, September 13, 1982;M;F;£30,000;0;0;Partial College;Clerical;1;2014-01-25;0-1 Miles;1982;2014
24383;205;AW00024383;Ronald;Prasad;Sunday, December 23, 1979;M;M;£30,000;0;0;Partial College;Clerical;1;2013-08-14;0-1 Miles;1979;2013
24689;229;AW00024689;Sandra;Ye;Thursday, July 26, 1979;M;F;£30,000;0;0;Partial College;Clerical;1;2013-10-22;1-2 Miles;1979;2013
25525;153;AW00025525;Heidi;Srini;Friday, April 17, 1981;M;F;£30,000;0;0;Partial College;Clerical;1;2013-11-25;0-1 Miles;1981;2013
28435;173;AW00028435;Edwin;Liu;Friday, October 9, 1981;M;M;£30,000;0;0;Partial College;Clerical;1;2014-01-20;0-1 Miles;1981;2014
28540;216;AW00028540;Leah;Zhang;Sunday, May 25, 1980;M;F;£30,000;0;0;Partial College;Clerical;1;2012-02-17;0-1 Miles;1980;2012
11015;301;AW00011015;Chloe;Young;Sunday, August 26, 1984;S;F;£30,000;0;0;Partial College;Skilled Manual;1;2013-01-18;5-10 Miles;1984;2013
11935;543;AW00011935;Jessica;Taylor;Thursday, May 19, 1983;S;F;£30,000;0;0;Partial College;Skilled Manual;1;2013-06-06;5-10 Miles;1983;2013
13029;632;AW00013029;Jennifer;Foster;Saturday, March 5, 1983;S;F;£30,000;0;0;Partial College;Skilled Manual;1;2012-01-20;1-2 Miles;1983;2012
14002;612;AW00014002;Jacqueline;Reed;Tuesday, April 26, 1983;S;F;£30,000;0;0;Partial College;Skilled Manual;1;2013-03-15;5-10 Miles;1983;2013
14003;547;AW00014003;Angel;Ramirez;Monday, April 4, 1983;S;M;£30,000;0;0;Partial College;Skilled Manual;1;2012-01-17;1-2 Miles;1983;2012
14354;358;AW00014354;Seth;Green;Friday, January 25, 1980;S;M;£30,000;0;0;Partial College;Skilled Manual;1;2012-08-24;1-2 Miles;1980;2012
14515;335;AW00014515;Anna;Cooper;Wednesday, February 6, 1985;S;F;£30,000;0;0;Partial College;Skilled Manual;1;2013-10-15;5-10 Miles;1985;2013
16015;335;AW00016015;Jessica;Cooper;Thursday, August 2, 1984;S;F;£30,000;0;0;Partial College;Skilled Manual;1;2013-01-21;1-2 Miles;1984;2013
16749;369;AW00016749;Aaron;Coleman;Wednesday, November 7, 1979;S;M;£30,000;0;0;Partial College;Skilled Manual;1;2013-12-05;5-10 Miles;1979;2013
16750;374;AW00016750;Seth;Sanders;Thursday, November 8, 1979;M;M;£30,000;0;0;Partial College;Skilled Manual;1;2013-03-21;5-10 Miles;1979;2013
17369;336;AW00017369;Ethan;Brown;Friday, January 11, 1985;S;M;£30,000;0;0;Partial College;Skilled Manual;1;2013-02-11;5-10 Miles;1985;2013
17486;543;AW00017486;Marissa;Foster;Wednesday, May 25, 1983;S;F;£30,000;0;0;Partial College;Skilled Manual;1;2013-04-29;1-2 Miles;1983;2013
18348;361;AW00018348;Katelyn;Roberts;Thursday, May 1, 1980;S;F;£30,000;0;0;Partial College;Skilled Manual;1;2013-02-25;1-2 Miles;1980;2013
18349;372;AW00018349;Jacob;Robinson;Sunday, October 14, 1979;S;M;£30,000;0;0;Partial College;Skilled Manual;1;2013-03-25;5-10 Miles;1979;2013
18776;336;AW00018776;Connor;Allen;Saturday, April 4, 1981;S;M;£30,000;0;0;Partial College;Skilled Manual;1;2013-05-31;5-10 Miles;1981;2013
18779;347;AW00018779;Jose;Hill;Saturday, October 20, 1979;M;M;£30,000;0;0;Partial College;Skilled Manual;1;2013-11-03;5-10 Miles;1979;2013
20292;314;AW00020292;Katherine;Ross;Tuesday, July 16, 1985;S;F;£30,000;0;0;Partial College;Skilled Manual;1;2013-10-30;1-2 Miles;1985;2013
20305;298;AW00020305;Caleb;Ross;Monday, June 24, 1985;S;M;£30,000;0;0;Partial College;Skilled Manual;1;2013-10-06;5-10 Miles;1985;2013
20306;311;AW00020306;Mary;Baker;Saturday, May 11, 1985;S;F;£30,000;0;0;Partial College;Skilled Manual;1;2013-05-01;5-10 Miles;1985;2013
23007;331;AW00023007;Isaac;Sanchez;Friday, May 3, 1985;S;M;£30,000;0;0;Partial College;Skilled Manual;1;2013-04-06;5-10 Miles;1985;2013
24236;614;AW00024236;Isabella;Nelson;Tuesday, May 8, 1984;S;F;£30,000;0;0;Partial College;Skilled Manual;1;2013-05-04;5-10 Miles;1984;2013
24237;623;AW00024237;Chloe;Henderson;Tuesday, October 4, 1983;S;F;£30,000;0;0;Partial College;Skilled Manual;1;2013-12-15;1-2 Miles;1983;2013
25003;609;AW00025003;Tristan;Russell;Sunday, April 15, 1984;S;M;£30,000;0;0;Partial College;Skilled Manual;1;2013-06-16;1-2 Miles;1984;2013
25004;611;AW00025004;Samuel;Thomas;Sunday, August 14, 1983;S;M;£30,000;0;0;Partial College;Skilled Manual;1;2014-01-21;1-2 Miles;1983;2014
25006;648;AW00025006;Bailey;Murphy;Friday, August 19, 1983;S;F;£30,000;0;0;Partial College;Skilled Manual;1;2013-06-29;5-10 Miles;1983;2013
25914;637;AW00025914;Seth;Hughes;Thursday, September 29, 1983;M;M;£30,000;0;0;Partial College;Skilled Manual;1;2013-08-27;5-10 Miles;1983;2013
27466;648;AW00027466;Abigail;Murphy;Friday, September 9, 1983;S;F;£30,000;0;0;Partial College;Skilled Manual;1;2013-06-09;1-2 Miles;1983;2013
28093;609;AW00028093;Brad;Kumar;Friday, August 26, 1983;M;M;£30,000;0;0;Partial College;Skilled Manual;1;2013-09-20;1-2 Miles;1983;2013
28094;542;AW00028094;Melanie;Peterson;Friday, May 25, 1984;M;F;£30,000;0;0;Partial College;Skilled Manual;1;2013-02-21;5-10 Miles;1984;2013
11266;632;AW00011266;Taylor;Howard;Sunday, November 2, 1969;S;F;£90,000;0;0;Partial College;Professional;1;2011-09-10;5-10 Miles;1969;2011
11278;614;AW00011278;Jonathan;Phillips;Sunday, February 16, 1969;S;M;£90,000;0;0;Partial College;Professional;1;2011-09-16;10+ Miles;1969;2011
11280;626;AW00011280;Robert;Collins;Monday, February 17, 1969;M;M;£90,000;0;0;Partial College;Professional;1;2013-07-01;10+ Miles;1969;2013
12160;536;AW00012160;Jaclyn;Zhang;Friday, May 23, 1969;S;F;£90,000;0;0;Partial College;Professional;1;2011-11-18;5-10 Miles;1969;2011
13286;545;AW00013286;Hannah;Rodriguez;Sunday, October 6, 1974;S;F;£90,000;0;0;Partial College;Professional;1;2012-02-10;10+ Miles;1974;2012
13436;618;AW00013436;Gail;Griffin;Wednesday, July 3, 1968;S;F;£90,000;0;0;Partial College;Professional;1;2012-03-12;5-10 Miles;1968;2012
18224;627;AW00018224;Vanessa;Perry;Thursday, April 9, 1970;S;F;£90,000;0;0;Partial College;Professional;1;2013-11-05;5-10 Miles;1970;2013
18383;627;AW00018383;Natalie;Torres;Monday, June 3, 1974;S;F;£90,000;0;0;Partial College;Professional;1;2013-08-02;5-10 Miles;1974;2013
18814;616;AW00018814;Evan;Adams;Thursday, January 10, 1980;S;M;£90,000;0;0;Partial College;Professional;1;2013-07-10;10+ Miles;1980;2013
18815;626;AW00018815;Abigail;Rogers;Friday, December 13, 1968;M;F;£90,000;0;0;Partial College;Professional;1;2013-09-20;10+ Miles;1968;2013
18816;546;AW00018816;Taylor;Smith;Thursday, December 12, 1968;S;F;£90,000;0;0;Partial College;Professional;1;2013-02-28;10+ Miles;1968;2013
19684;631;AW00019684;Alexandra;Lee;Sunday, August 31, 1975;S;F;£90,000;0;0;Partial College;Professional;1;2013-03-23;10+ Miles;1975;2013
20322;627;AW00020322;Rachel;Wood;Tuesday, October 15, 1968;S;F;£90,000;0;0;Partial College;Professional;1;2013-12-25;10+ Miles;1968;2013
21285;539;AW00021285;Mackenzie;Rivera;Sunday, April 13, 1969;M;F;£90,000;0;0;Partial College;Professional;1;2013-05-16;10+ Miles;1969;2013
23020;623;AW00023020;Hannah;Jones;Saturday, October 19, 1968;M;F;£90,000;0;0;Partial College;Professional;1;2014-01-04;10+ Miles;1968;2014
23466;631;AW00023466;Alyssa;Miller;Wednesday, November 12, 1969;S;F;£90,000;0;0;Partial College;Professional;1;2013-01-31;5-10 Miles;1969;2013
23467;633;AW00023467;Nicole;Bennett;Wednesday, September 3, 1969;S;F;£90,000;0;0;Partial College;Professional;1;2014-01-18;10+ Miles;1969;2014
23477;627;AW00023477;Marcus;Phillips;Tuesday, September 10, 1974;M;M;£90,000;0;0;Partial College;Professional;1;2013-11-29;10+ Miles;1974;2013
27617;631;AW00027617;Morgan;Phillips;Friday, July 18, 1980;S;F;£90,000;0;0;Partial College;Professional;1;2011-01-12;5-10 Miles;1980;2011
28240;633;AW00028240;Eduardo;Clark;Sunday, January 11, 1970;M;M;£90,000;0;0;Partial College;Professional;1;2011-04-13;2-5 Miles;1970;2011
29233;631;AW00029233;Caitlin;Sanders;Friday, February 21, 1969;S;F;£90,000;0;0;Partial College;Professional;1;2013-10-23;10+ Miles;1969;2013
11356;6;AW00011356;Terrence;Carson;Sunday, November 24, 1985;S;M;£10,000;0;0;Partial College;Manual;1;2011-05-10;2-5 Miles;1985;2011
11357;21;AW00011357;Ramon;Ye;Wednesday, September 19, 1984;S;M;£10,000;0;0;Partial College;Manual;1;2011-06-18;2-5 Miles;1984;2011
11358;2;AW00011358;Cynthia;Malhotra;Thursday, May 10, 1984;S;F;£10,000;0;0;Partial College;Manual;1;2011-06-28;0-1 Miles;1984;2011
11359;7;AW00011359;Jarrod;Prasad;Saturday, March 3, 1984;S;M;£10,000;0;0;Partial College;Manual;1;2011-06-13;0-1 Miles;1984;2011
